intento;orientacion;posicion_angular;tipo;excentricidad;offset_porcentual
BL1_1;45;0;magno;0;0
BL1_2;135;0;magno;0;0
BL1_3;45;0;magno;0;-4
BL1_4;135;0;magno;0;-4
BL1_5;45;0;magno;0;-8
BL1_6;45;0;neutro;0;-8
BL1_7;45;0;neutro;0;-10
BL1_8;135;0;neutro;0;-10
BL1_9;45;0;neutro;0;-10
BL1_10;135;0;neutro;0;-10
BL1_11;45;0;parvo;0;-10
BL1_12;135;0;parvo;0;-13
BL1_13;45;0;parvo;0;-13
BL1_14;135;0;parvo;0;-13
BL1_15;135;0;parvo;0;-13
BL1_16;135;0;-;0;-15
BL1_17;45;0;-;0;-15
BL1_18;45;0;-;0;-15
BL1_19;135;0;-;0;-17
BL1_20;135;0;-;0;-17
BL1_21;45;0;-;0;-17
BL1_22;45;0;-;0;-20
BL1_23;45;0;-;0;-20
BL1_24;45;0;-;0;-25
BL1_25;135;0;-;0;-25
